precision,recall,threshold
0.5233712512926577,1.0,-1.6528512
0.5234253800806702,1.0,-1.6521269
0.5234795200661978,1.0,-1.6507281
0.5235336712527154,1.0,-1.6506716
0.5235878336436995,1.0,-1.6502651
0.523642007242628,1.0,-1.6501895
0.5236961920529801,1.0,-1.6496346
0.5237503880782366,1.0,-1.6490749
0.5238045953218795,1.0,-1.6472504
0.5238588137873926,1.0,-1.6468042
0.5239130434782608,1.0,-1.6466068
0.5239672843979708,1.0,-1.6456972
0.5240215365500104,1.0,-1.6455901
0.5240757999378689,1.0,-1.6451998
0.5241300745650372,1.0,-1.6437268
0.5241843604350078,1.0,-1.6431986
0.5242386575512741,1.0,-1.6431162
0.5242929659173314,1.0,-1.642088
0.5243472855366763,1.0,-1.6420741
0.5244016164128069,1.0,-1.6419739
0.5244559585492228,1.0,-1.6418116
0.5245103119494248,1.0,-1.6418036
0.5245646766169154,1.0,-1.6417267
0.5246190525551985,1.0,-1.6415604
0.5246734397677794,1.0,-1.6410916
0.5247278382581648,1.0,-1.6405739
0.5247822480298632,1.0,-1.6405506
0.5248366690863839,1.0,-1.6404872
0.5248911014312383,1.0,-1.6397923
0.524945545067939,1.0,-1.6396136
0.525,1.0,-1.6396036
0.5250544662309368,1.0,-1.6394506
0.5251089437642664,1.0,-1.639225
0.5251634326035073,1.0,-1.6385939
0.5252179327521793,1.0,-1.6383643
0.5252724442138038,1.0,-1.6379558
0.5253269669919036,1.0,-1.637479
0.5253815010900031,1.0,-1.6373926
0.5254360465116279,1.0,-1.6371977
0.5254906032603053,1.0,-1.6371284
0.5255451713395639,1.0,-1.6370518
0.5255997507529339,1.0,-1.6366336
0.5256543415039469,1.0,-1.636616
0.5257089435961358,1.0,-1.6365868
0.5257635570330356,1.0,-1.6362453
0.5258181818181819,1.0,-1.6360054
0.5258728179551122,1.0,-1.6359588
0.5259274654473657,1.0,-1.6358811
0.5259821242984827,1.0,-1.63587
0.526036794512005,1.0,-1.635683
0.5260914760914761,1.0,-1.6355947
0.5261461690404408,1.0,-1.635244
0.5262008733624454,1.0,-1.6346596
0.5262555890610378,1.0,-1.634409
0.5263103161397671,1.0,-1.6343826
0.5263650546021841,1.0,-1.6342932
0.5264198044518411,1.0,-1.6340982
0.5264745656922917,1.0,-1.634086
0.5265293383270911,1.0,-1.6336908
0.526584122359796,1.0,-1.6335136
0.5266389177939647,1.0,-1.6333476
0.5266937246331564,1.0,-1.6330876
0.5267485428809325,1.0,-1.6330329
0.5268033725408556,1.0,-1.6329998
0.5268582136164897,1.0,-1.632873
0.5269130661114003,1.0,-1.6326045
0.5269679300291545,1.0,-1.6324002
0.5270228053733208,1.0,-1.6319749
0.5270776921474692,1.0,-1.631889
0.5271325903551713,1.0,-1.6317542
0.5271875,1.0,-1.6316211
0.5272424210855298,1.0,-1.6313684
0.5272973536153366,1.0,-1.631115
0.5273522975929978,1.0,-1.6309335
0.5274072530220926,1.0,-1.6307697
0.5274622199062011,1.0,-1.6306955
0.5275171982489055,1.0,-1.6304988
0.5275721880537892,1.0,-1.6303154
